Experimental_index,DP_Group,LA/GA,Polymer_MW,CL Ratio,Drug_Tm,Drug_Pka,Initial D/M ratio,DLC,SA-V,SE,Drug_Mw,Drug_TPSA,Drug_NHA,Drug_LogP,Time,T=0.25,T=0.5,T=1.0,Release,LA_GA_Ratio,Normalized_MW,Drug_Polymer_MW_Ratio
80,5-FU-PLGA,1.0,104000,0.0,282.5,7.76,0.8,0.347,76.72634271099744,0.0,130.078,65.72,5,-0.7977000000000001,0.0,0.09124830860726449,0.1861606216970295,0.3509320604004543,0.0,1.0,11.552155793461898,0.0012507500000000001
80,5-FU-PLGA,1.0,104000,0.0,282.5,7.76,0.8,0.347,76.72634271099744,0.0,130.078,65.72,5,-0.7977000000000001,0.260639,0.09124830860726449,0.1861606216970295,0.3509320604004543,0.066493,1.0,11.552155793461898,0.0012507500000000001
80,5-FU-PLGA,1.0,104000,0.0,282.5,7.76,0.8,0.347,76.72634271099744,0.0,130.078,65.72,5,-0.7977000000000001,1.05983,0.09124830860726449,0.1861606216970295,0.3509320604004543,0.402908,1.0,11.552155793461898,0.0012507500000000001
80,5-FU-PLGA,1.0,104000,0.0,282.5,7.76,0.8,0.347,76.72634271099744,0.0,130.078,65.72,5,-0.7977000000000001,2.08982,0.09124830860726449,0.1861606216970295,0.3509320604004543,0.569291,1.0,11.552155793461898,0.0012507500000000001
80,5-FU-PLGA,1.0,104000,0.0,282.5,7.76,0.8,0.347,76.72634271099744,0.0,130.078,65.72,5,-0.7977000000000001,3.11353,0.09124830860726449,0.1861606216970295,0.3509320604004543,0.685878,1.0,11.552155793461898,0.0012507500000000001
80,5-FU-PLGA,1.0,104000,0.0,282.5,7.76,0.8,0.347,76.72634271099744,0.0,130.078,65.72,5,-0.7977000000000001,4.13201,0.09124830860726449,0.1861606216970295,0.3509320604004543,0.760969,1.0,11.552155793461898,0.0012507500000000001
80,5-FU-PLGA,1.0,104000,0.0,282.5,7.76,0.8,0.347,76.72634271099744,0.0,130.078,65.72,5,-0.7977000000000001,5.08481,0.09124830860726449,0.1861606216970295,0.3509320604004543,0.815287,1.0,11.552155793461898,0.0012507500000000001
80,5-FU-PLGA,1.0,104000,0.0,282.5,7.76,0.8,0.347,76.72634271099744,0.0,130.078,65.72,5,-0.7977000000000001,6.09753,0.09124830860726449,0.1861606216970295,0.3509320604004543,0.844733,1.0,11.552155793461898,0.0012507500000000001
80,5-FU-PLGA,1.0,104000,0.0,282.5,7.76,0.8,0.347,76.72634271099744,0.0,130.078,65.72,5,-0.7977000000000001,7.17071,0.09124830860726449,0.1861606216970295,0.3509320604004543,0.853456,1.0,11.552155793461898,0.0012507500000000001
80,5-FU-PLGA,1.0,104000,0.0,282.5,7.76,0.8,0.347,76.72634271099744,0.0,130.078,65.72,5,-0.7977000000000001,8.11722,0.09124830860726449,0.1861606216970295,0.3509320604004543,0.85798,1.0,11.552155793461898,0.0012507500000000001
80,5-FU-PLGA,1.0,104000,0.0,282.5,7.76,0.8,0.347,76.72634271099744,0.0,130.078,65.72,5,-0.7977000000000001,9.13099,0.09124830860726449,0.1861606216970295,0.3509320604004543,0.8957250000000001,1.0,11.552155793461898,0.0012507500000000001
80,5-FU-PLGA,1.0,104000,0.0,282.5,7.76,0.8,0.347,76.72634271099744,0.0,130.078,65.72,5,-0.7977000000000001,10.1401,0.09124830860726449,0.1861606216970295,0.3509320604004543,0.896123,1.0,11.552155793461898,0.0012507500000000001
80,5-FU-PLGA,1.0,104000,0.0,282.5,7.76,0.8,0.347,76.72634271099744,0.0,130.078,65.72,5,-0.7977000000000001,11.0871,0.09124830860726449,0.1861606216970295,0.3509320604004543,0.904796,1.0,11.552155793461898,0.0012507500000000001
80,5-FU-PLGA,1.0,104000,0.0,282.5,7.76,0.8,0.347,76.72634271099744,0.0,130.078,65.72,5,-0.7977000000000001,12.1629,0.09124830860726449,0.1861606216970295,0.3509320604004543,0.934267,1.0,11.552155793461898,0.0012507500000000001
